,name,usages
888,KAY,English|Welsh Mythology|Arthurian Romance|Frisian|German|Swedish|Norwegian|Danish
889,BENJAMIN,English|French|German|Dutch|Danish|Swedish|Norwegian|Biblical
890,JAMES,English|Biblical
891,JOAN,English|Catalan|Occitan
892,SAM,English|Persian|Persian Mythology|Literature
893,CARLOTA,Spanish|Portuguese
894,JILL,English
895,NORBERT,German|English|Dutch|French|Hungarian|Polish|Ancient Germanic
896,HENNESSY,"English (Modern, Rare)|Irish"
897,AHMED,Turkish|Bosnian|Dhivehi|Arabic|Urdu|Pashto
898,AKBAR,Arabic|Persian|Urdu|Indian (Muslim)
899,TEA,Croatian|Slovene|Swedish|Danish|Norwegian|Finnish
900,DANIELA,Italian|German|Czech|Slovak|Romanian|Portuguese|Spanish|Bulgarian|Macedonian|English
901,AVIS,English
902,VIVA,"Indian|Sanskrit|American (Rare, Archaic)|Medieval Occitan|Italian (Archaic)"
903,JEANNETTE,French|English|Dutch
904,WILMA,German|Dutch|English
905,SERRA,English|Medieval Jewish
906,LIANE,German
907,AZIZ,Arabic|Persian|Urdu|Uzbek
908,HAMED,Arabic|Persian
909,OWEN,Welsh|English|Irish
910,KENNETH,Scottish|English|Swedish|Norwegian|Danish
911,TONY,English
912,DIANE,French|English
913,JESSE,English|Dutch|Finnish|Biblical
914,JAMA,Greenlandic|English (Modern)
915,RANDAL,English
916,ANTOINE,French|African American
917,LEROY,English
918,MILLIE,English
919,AZIZA,Arabic|Judeo-Arabic (Archaic)|Azerbaijani|Eastern African
920,ROSA,Spanish|Italian|Portuguese|Swedish|Norwegian|Danish|Dutch|German|English|Bulgarian|Serbian|Croatian|Macedonian
921,AIDE,Lithuanian (Rare)|Basque Mythology
922,INDIA,English
923,ORVILLE,English
924,DANIELLE,French|English
925,DRAGON,na
926,FRANCE,French
927,PATRICE,French|English
928,MAJA,Croatian|Serbian|Slovene|German|Danish|Swedish|Norwegian|Polish|Croatian|Serbian|Macedonian|Slovene|German|Danish|Swedish|Norwegian|Polish|Czech|Slovak
929,SHEIKH,Muslim|Bengali (Muslim)|Indian (Muslim)
930,LEESON,na
931,RADIN,Persian (Rare)
932,LIDIA,Polish|Italian|Spanish|Romanian
933,WILLIAMS,English (American)|English
934,CATALINA,Spanish|Corsican
935,CHAPMAN,English|English
936,DAILY,na
937,MARISKA,Hungarian|Dutch
938,WAYLAND,English
939,MONROE,Scottish|English
940,SEMA,Turkish|Finnish
941,JOSEFA,Spanish|Portuguese|Czech
942,PRINCE,English
943,FERNANDO,Spanish|Portuguese
944,STEPHANIE,English|German
945,ALIA,Arabic|Ancient Germanic
946,KARINA,Swedish|Danish|Norwegian|Polish|German|Russian|English|Latvian
947,MARQUE,"African American (Modern, Rare)"
948,DELTA,English
949,RAFAEL,Spanish|Portuguese|German|Hungarian|Slovene|Hebrew
950,CARTER,English
951,NIL,Catalan|Russian (Rare)
952,DINA,Norwegian|Danish|Swedish|Latvian|English|Biblical Latin|Biblical Greek|Italian|Portuguese
953,MARCUS,Ancient Roman|Biblical Latin|English|Swedish|Norwegian|Danish
954,RUBY,English
955,HANA,Arabic|Bosnian|Czech|Slovak|Croatian|Sorbian|Japanese|Korean
956,BORIS,Bulgarian|Russian|Slovene|Croatian|Serbian|Macedonian|Czech|Slovak|Georgian|German
957,LULU,German|Arabic
958,ALLE,Frisian
959,SILVER,English (Rare)
960,BRUCE,Scottish|English
961,MISTER,na
962,SIMONE,French|English|Italian
963,SAMIR,Arabic|Indian|Hindi|Marathi|Bengali|Gujarati
964,LUTHER,English
965,DEVI,Hinduism|Indian|Hindi|Tamil
966,ROXY,English
967,LEVI,Hebrew|English|Dutch|Biblical|Biblical Latin
968,SALOMON,French|Swedish|Norwegian|Danish|Biblical French|Biblical Latin|Biblical Greek
969,TRAVIS,English
970,ADDIS,Amharic|Ethiopian
971,MATTHEW,English|Biblical
972,BIBI,Danish|Swedish|Norwegian (Rare)|Icelandic|Turkmen|Portuguese|Portuguese|Bashkir|Japanese|Hebrew
973,MIREILLE,French
974,SHOSHANA,Hebrew
975,LUCIANO,Italian|Spanish|Portuguese
976,DANIEL,English|Hebrew|French|German|Swedish|Norwegian|Danish|Polish|Czech|Slovak|Spanish|Portuguese|Romanian|Slovene|Bulgarian|Macedonian|Croatian|Armenian|Georgian|Biblical|Biblical Greek
977,YAN,Belarusian|Chinese
978,JODY,English
979,TOUSSAINT,French
980,LILY,English
981,MEGAN,Welsh|English
982,JULIA,English|German|Swedish|Norwegian|Danish|Dutch|Spanish|Polish|Finnish|Russian|Ukrainian|Ancient Roman|Biblical
983,KARTIKEYA,Hinduism
984,ROI,Galician|Hebrew
985,NEIL,Irish|Scottish|English
986,BEAUX,English (British)
987,SMITH,English
988,DAVY,English
989,OLIVIER,French|Dutch
990,OLAF,Norwegian|Danish|German|Dutch|Polish
991,JULIEN,French
992,LIONEL,French|English
993,PAULINA,Spanish|Portuguese|Polish|Swedish|Lithuanian|English|Ancient Roman
994,KHAN,Urdu|Pashto
995,ALLIA,English (Rare)
996,ARON,Polish|Croatian|Swedish|Norwegian|Danish|Icelandic
997,COLIN,Scottish|Irish|English|English
998,MAYNARD,English
999,LEXA,English
1000,JEANNE,French|English
1001,MALKA,Hebrew
1002,BEATRICE,Italian|English|Swedish
1003,MELADEE,na
1004,ELLA,English|English|Swedish|Norwegian|Danish|Finnish
1005,DESMOND,English|Irish
1006,PRUDENCE,English|French
1007,STEVEN,English|Dutch
1008,TAJ,Arabic
1009,WHITT,English
1010,REBEL,English (Rare)
1011,VIA,Danish|Norwegian|Swedish|Finnish
1012,INES,Italian|Slovene|Croatian
1013,ROY,Scottish|English|Dutch
1014,ABDOU,Western African
1015,PIERCE,English
1016,OTIS,English
1017,GRETA,German|Italian|Lithuanian|Swedish|English
1018,ROME,Various|French|English|English|French|Dutch
1019,ALFRED,English|French|Swedish|Norwegian|Danish|German|Polish|Dutch
1020,LAKE,English (Rare)
1021,ELISABETH,German|Dutch|Swedish|Norwegian|Danish|English|Biblical|Biblical Latin
1022,LISETTE,French|English
1023,DENISE,French|English|Dutch
1024,ELLEN,English|Dutch
1025,SAMSON,Biblical|English|French|Biblical Latin
1026,HAROUN,Arabic
1027,LINCOLN,English
1028,CHRISTINE,French|English|German|Swedish|Norwegian|Danish|Dutch
1029,THEODOR,German|Swedish|Norwegian|Danish|Czech|Romanian
1030,KAREN,Danish|Norwegian|Icelandic|German|English|Armenian|Japanese
1031,CLAIRE,French|English
1032,JAY,English|Indian|Hindi|Marathi|Gujarati
1033,VIENNE,French (Rare)
1034,LEWIS,English
1035,CLAUDE,French|English
1036,MARCELINO,Spanish|Portuguese
1037,EDITH,English|German|Swedish|Norwegian|Danish|Dutch
1038,DAVE,English
1039,COLLINS,English (American)|Irish|English
1040,MATIN,na
1041,JOCELYNE,French
1042,SVETLANA,Russian|Slovak|Bulgarian|Serbian|Macedonian
1043,BRAVE,English
1044,TONIO,Italian
1045,WESTON,English
1046,THIERRY,French
1047,YI,Chinese
1048,LYMAN,English
1049,GERMAIN,French
1050,MILO,English|Ancient Germanic
1051,DARLA,English
1052,TADASHI,Japanese
1053,ANDREA,Italian|English|German|Spanish|Czech|Slovak|Hungarian|Swedish|Norwegian|Danish|Icelandic|Dutch|Croatian|Serbian
1054,VALENTIN,French|Romanian|German|Danish|Swedish|Norwegian|Czech|Russian|Bulgarian|Slovene|Croatian|Macedonian
1055,DWAYNE,English
1056,SHERIDAN,English
1057,LESLIE,English
1058,PATRICIA,English|Spanish|German|Late Roman
1059,MAYBELLINE,English (Rare)
1060,AUDREY,English
1061,JOHN,English|Swedish|Danish|Norwegian|Dutch|Biblical
1062,ROSANNE,English|Dutch
1063,ROGERS,English (American)|English
1064,RIKKI,English (Modern)
1065,SUZANNE,French|English|Dutch
1066,JABIN,Biblical
1067,YASMINE,Persian|Arabic|English (Modern)
1068,LEE,English
1069,SIDDHARTH,Indian|Hindi|Marathi|Gujarati
1070,CHARLES,English|French
1071,SHAUN,English
1072,TARIK,Bosnian|Arabic
1073,TERESA,Spanish|Portuguese|Italian|Polish|Finnish|German|Swedish|Norwegian|Danish|English
1074,MURIEL,English|French|Irish
1075,EDMOND,French
1076,KARL,German|Swedish|Norwegian|Danish|English|Finnish|Ancient Germanic
1077,RONAN,Irish|English|Breton
1078,SIRIUS,Astronomy
1079,SULLIVAN,English
1080,YOON,Batonu
1081,VANESSA,English|Italian|Portuguese|German|Dutch
1082,FORBES,Scottish
1083,FRANK,English|German|Dutch|French|English
1084,LORI,English
1085,KARIM,Arabic|Persian
1086,MOSES,English|Jewish|Biblical|Biblical Latin
1087,MARGUERITE,French
1088,BENTLEY,English
1089,AMEL,Bosnian|Arabic (Maghrebi)
1090,SARAFINA,English|Swahili
1091,FRANCIS,English|French
1092,DURAND,French|French|English
1093,HEAVEN,English (Modern)
1094,GALE,English|English
1095,ULA,Polish
1096,PHYLLIS,Greek Mythology|English|German
1097,SAHEL,Persian
1098,JIMMY,English
1099,BECCA,English
1100,SAY,na
1101,BAR,Hebrew
1102,YALE,Welsh
1103,FAISAL,Arabic
1104,BEAUMONT,English (Rare)
1105,RENO,Japanese|Italian|Popular Culture|Spanish
1106,ANGELES,Spanish
1107,NIKI,Greek|English
1108,VIVI,Danish|Swedish|Norwegian
1109,JETTE,Dutch
1110,APOLLINE,French
1111,HEINRICH,German|Ancient Germanic
1112,PARKER,English
1113,BO,Swedish|Danish|Chinese
1114,ABDUL,Arabic|Urdu|Punjabi|Pashto|Bengali|Indonesian|Malay
1115,ITALIE,na
1116,DESTIN,"American (Modern, Rare)|Haitian Creole (Rare)|African"
1117,FLEUR,French|Dutch|English (Rare)
1118,HENNING,German|Danish|Norwegian|Swedish
1119,LOU,English|French
1120,BAIRD,English|Scottish
1121,TARA,English|Hinduism|Indian|Hindi|Nepali
1122,KALI,Hinduism|Bengali|Tamil
1123,SAXON,English (Rare)
1124,SAMUEL,English|French|German|Dutch|Spanish|Portuguese|Polish|Czech|Slovak|Swedish|Norwegian|Danish|Finnish|Jewish|Biblical
1125,ANGELINE,French
1126,ERWIN,German|Dutch|Ancient Germanic
1127,LANE,English
1128,SHANE,Irish|English
1129,HANSEN,English|Danish|Norwegian
1130,ALEXANDRE,French|Portuguese|Galician|Catalan
1131,BILLY,English
1132,JOIE,English (Rare)
1133,JUDE,English|Biblical|English
1134,EMILY,English
1135,SEAN,Irish|English
1136,SHIRIN,Persian
1137,NOBEL,Portuguese (Brazilian)
1138,IVORY,African American
1139,BENJI,English
1140,ALICE,English|French|Portuguese|Italian|Czech
1141,BERTRAND,French|English|Ancient Germanic
1142,CARMEN,Spanish|English|Italian|Romanian
1143,MAN,Indian|American|Balinese|Chinese (Cantonese)|Chinese|Ancient Germanic|Old High German|Old Dutch|Swedish
1144,MIKE,English
1145,JEFFREY,English
1146,KAL,Scottish (Rare)|English (Rare)
1147,EDDA,Italian|Icelandic|Ancient Scandinavian
1148,KATRIN,German|Swedish|Estonian
1149,SALAM,Arabic
1150,BENITO,Spanish|Italian
1151,OSIRIS,Egyptian Mythology (Hellenized)
1152,MAGDALENA,Polish|German|Dutch|Swedish|Norwegian|Danish|Spanish|Catalan|Occitan|Slovene|Czech|Bulgarian|Macedonian|Croatian|Serbian|Romanian|English
1153,PEACE,English (Rare)
1154,BEAU,English
1155,ED,English|Dutch
1156,DIDIER,French
1157,SHAH,Persian
1158,NATHALIE,French|Dutch|German|Swedish|Danish|Norwegian
1159,CASEY,English|Irish
1160,JOSEPH,English|French|German|Biblical
1161,DON,English
1162,LEVY,English|Hebrew
1163,MOHAN,Indian|Hindi|Marathi|Kannada|Tamil|Telugu|Malayalam
1164,SHIVA,Hinduism|Indian|Telugu|Tamil|Kannada|Malayalam|Nepali|Persian
1165,HANNA,Swedish|Norwegian|Danish|Finnish|Polish|Ukrainian|Belarusian|German|Dutch|Icelandic|Hungarian|Hebrew|German|Swedish|Norwegian|Danish|Finnish|Dutch|Hungarian
1166,WILL,English
1167,AVERY,English
1168,ABDELAZIZ,Arabic (Maghrebi)
1169,WILLIS,English
1170,HABIB,Arabic
1171,JOAQUIN,Spanish|English (American)
1172,PAULINE,French|English|German|Swedish|Norwegian|Danish
1173,CAROL,English|Romanian
1174,MANUEL,Spanish|Portuguese|German|English|Italian|French|Romanian|Late Greek (Latinized)
1175,CARMINE,Italian
1176,TYLER,English
1177,ANIS,Arabic
1178,FABIAN,German|Dutch|Polish|English
1179,RASHID,Arabic
1180,THOR,Norse Mythology|Norwegian|Danish|Swedish
1181,JOLI,English
1182,YUKIKO,Japanese
1183,ALAN,English|Scottish|Breton|French
1184,MYSTIC,English|Popular Culture
1185,TARO,Japanese
1186,RICO,Spanish|Italian
1187,ROMAIN,French
1188,JONATHAN,English|German|Swedish|Norwegian|Danish|Dutch|French|Biblical
1189,RUTH,English|German|Dutch|Swedish|Norwegian|Danish|Spanish|Biblical|Biblical Latin|Limburgish
1190,AZALEA,English (Modern)
1191,POLLY,English
1192,STORY,English (Modern)
1193,CHET,English
1194,GLEN,Scottish|English
1195,JUDITH,English|Jewish|French|German|Spanish|Biblical
1196,EZRA,Biblical|English|Hebrew
1197,NANA,Greek|Japanese|Georgian
1198,STANLEY,English
1199,EXCEL,na
1200,BANKS,English|English
1201,LOREN,English
1202,MAX,German|English|Swedish|Norwegian|Danish|Dutch|Czech|Russian
1203,CLARK,English
1204,FORD,English
1205,GIGI,French
1206,DODGE,Medieval English|Scots|English
1207,BONNIE,English
1208,LONDON,English (Modern)
1209,FREEMAN,English
1210,WALTER,English|German|Swedish|Norwegian|Danish|Italian|Ancient Germanic
1211,SAE,Japanese|Anglo-Saxon
1212,ANNE,French|English|Swedish|Norwegian|Danish|Finnish|German|Dutch|Basque|Frisian
1213,AL,English
1214,SAINT,American
1215,MONTEZ,na
1216,GUY,English|French|Hebrew
1217,STUART,English|Scottish
1218,SAMUELA,Italian
1219,SHEN,Chinese|Chinese|Chinese
1220,ERIC,English|Swedish|German|Spanish
1221,AFRICA,African American (Rare)|Irish|Scottish
1222,BRIGHTON,English
1223,GRAHAM,Scottish|English
1224,ZEN,Japanese|English
1225,SHERLOCK,Literature
1226,KEN,English|Japanese
1227,VIKTOR,Swedish|Norwegian|Danish|Icelandic|German|Hungarian|Czech|Slovak|Bulgarian|Russian|Ukrainian|Croatian|Serbian|Slovene|Macedonian
1228,KING,English
1229,MIKO,Spanish|Finnish (Modern)|Native American|Chickasaw|Japanese
1230,DANY,French
1231,ORSON,English
1232,IGOR,Russian|Polish|Slovene|Croatian|Serbian|Macedonian|Slovak|Czech|Italian|Portuguese
1233,LAWRENCE,English
1234,ANIKA,German|Dutch|Danish|Slovene|Indian|Hindi
1235,VICTOR,English|French|Portuguese|Romanian|Dutch|Swedish|Late Roman
1236,LENA,Swedish|Norwegian|Danish|German|Polish|Russian|English|Italian|Portuguese|Greek
1237,JUDY,English
1238,PHILIP,English|Swedish|Norwegian|Danish|Dutch|Biblical
1239,SIRE,Sami|African American
1240,BETSY,English
1241,GERALDINE,English
1242,ANITA,Spanish|Portuguese|Croatian|Slovene|English|Dutch|German|Swedish|Norwegian|Danish|Finnish|Polish|Latvian|Indian|Hindi|Marathi|Tamil
1243,KATARINA,Swedish|Norwegian|Danish|German|Croatian|Serbian|Slovene|Sorbian
1244,ROBIN,English|Dutch|Swedish
1245,JEAN,French|English|Scottish
1246,SETH,English|Biblical|Biblical Latin|Biblical Greek|Egyptian Mythology (Hellenized)
1247,MONA,Irish|English|Swedish|Norwegian|Danish|Arabic
1248,BERNADETTE,French|English
1249,RAYNER,English (Archaic)
1250,LAMA,Arabic|Italian
1251,HANK,English
1252,JORGE,Spanish|Portuguese
1253,LEXUS,English
1254,DOROTHY,English
1255,RANGER,English
1256,ISLAND,na
1257,FABIEN,French
1258,THELMA,English
1259,AVANT,na
1260,CATHERINE,French|English
1261,GITA,Indian|Hindi
1262,ABERDEEN,English
1263,KIM,English|Danish|Swedish|Norwegian|Finnish|Vietnamese
1264,CAILLOU,Popular Culture
1265,DOROTHEA,German|Dutch|Danish|Norwegian|English|Late Greek
1266,SALIM,Arabic
1267,HOLLAND,"English (American, Rare)|English|Dutch|German|English|Dutch|English|German|English"
1268,HENDERSON,English
1269,ASHA,Indian|Hindi|Marathi|Kannada|Malayalam|Eastern African|Swahili
1270,RICHIE,English
1271,MORRIS,English|Medieval English
1272,AFTON,English
1273,DIANNE,French|English
1274,JOSEPHINE,English|German|Dutch
1275,HOWARD,English
1276,FATOU,Western African
1277,GABY,English (Rare)|French (Rare)|Spanish
1278,MARIN,French|Romanian|Croatian|Serbian|Bulgarian|Macedonian
1279,BALDWIN,English|Ancient Germanic
1280,NELSON,English
1281,RAM,Biblical|Indian|Hindi|Marathi|Bengali|Tamil|Telugu|Malayalam|Kannada|Nepali
1282,MALI,Thai
1283,DIXIE,English
1284,AYANO,Japanese
1285,ERICH,German
1286,KALYAN,Indian|Hindi|Bengali|Telugu
1287,JOSH,English
1288,IGNACIO,Spanish
1289,CHEVY,English
1290,BARBIE,English
1291,JASON,English|French|Greek Mythology (Anglicized)|Biblical
1292,EDGAR,English|French
1293,BRAX,English (Australian)
1294,JUMA,Arabic|Swahili|Uyghur
1295,OMAR,Arabic|English|Spanish|Italian|Biblical
1296,FATIMA,Arabic
1297,GRACELAND,na
1298,ROYCE,English
1299,AMADOU,Western African|Wolof|Serer|Fula|Manding
1300,NANCY,English
1301,MALIN,Swedish|Norwegian
1302,VAN,English
1303,BELINDA,English
1304,ALBERT,English|French|Catalan|German|Polish|Russian|Dutch|Swedish|Norwegian|Danish|Icelandic|Romanian|Hungarian|Ancient Germanic
1305,GLENN,Scottish|English
1306,ELISA,Italian|Spanish|Portuguese|German|Finnish|English
1307,FIN,West Frisian (Rare)|Old Danish|Old Swedish|Norwegian (Rare)|Medieval Irish|English|Scottish|Irish
1308,MATHILDE,French|German|Dutch|Norwegian|Danish
1309,STEPHEN,English|Biblical
1310,ROCK,English (Rare)
1311,HARRY,English
1312,GABIN,French
1313,LAFAYETTE,"English (American, Rare)"
1314,ROBINSON,English|Literature|Spanish (Latin American)|English
1315,BRIGITTE,German|French
1316,FRITZ,German
1317,NAINA,Indian|Hindi
1318,PIOTR,Polish
1319,HILDE,German|Dutch|Norwegian
1320,RICHMOND,English
1321,BOY,North Frisian|West Frisian|East Frisian|Dutch|Danish|German|English (Rare)
1322,JOE,English
1323,ANDREJ,Slovene|Czech|Slovak|Croatian|Serbian|Macedonian
1324,WINTER,English (Modern)
1325,KENT,English
1326,AGATHE,French|German|Norwegian|Danish|Ancient Greek
1327,NETTIE,English
1328,TOMI,Finnish|Hungarian|Welsh
1329,HENRI,French|Finnish
1330,YOUSSEF,Arabic
1331,LINDA,English|German|Dutch|Italian|Swedish|Norwegian|Danish|Icelandic|French|Latvian|Finnish|Hungarian|Czech|Slovak|Ancient Germanic
1332,BERK,Turkish
1333,RAINIER,French (Rare)
1334,HARDY,English
1335,RALPH,English|Swedish|Norwegian|Danish|German
1336,ARMAND,French
1337,TERRY,English|English
1338,LESTER,English
1339,MOSS,English (Archaic)|Jewish
1340,LUCY,English
